#  aims_uuid : 9BAF59A7-5CCE-4CB6-A97F-F69893AB3B24                                
# The energy reference for this output is the chemical potential, mu =      -4.708547 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -14.60445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.60145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.59845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.59545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.59245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.58945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.58645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.58345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.58045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.57745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.57445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.57145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.56845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.56545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.56245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.55945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.55645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.55345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.55045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.54745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.54445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.54145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.53845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.53545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.53245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.52945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.52645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.52345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.52045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.51745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.51445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.51145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.50845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.50545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.50245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.49945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.49645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.49345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.49045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.48745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.48445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.48145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.47845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.47545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.47245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.46945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.46645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.46345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.46045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
